temp,CforEin,CforDev
1.0,1.3900140600512438e-125,8.658585869689108e-6
1.1,8.028395962656565e-114,1.1524577792556201e-5
1.2,5.004731654139893e-104,1.4962036382822775e-5
1.3,9.58679726727617e-96,1.9022913155706966e-5
1.4,1.1912541533164776e-88,2.3759159626426895e-5
1.5,1.6606758320840853e-82,2.9222727310200736e-5
1.6,3.916592987451317e-77,3.546556772224659e-5
1.7,2.13925833414343e-72,4.253963237778257e-5
1.8,3.4546583446367736e-68,5.049687279202687e-5
1.9,2.0000627901645115e-64,5.9389240480197574e-5
2.0,4.843189781885977e-61,6.926868695751288e-5
2.1,5.557203894159117e-58,8.018716373919081e-5
2.2,3.3461360702775306e-55,9.219662234044961e-5
2.3,1.150275201162649e-52,0.00010534901427650734
2.4,2.4217596716427474e-50,0.0001196962910625822
2.5,3.312423967847904e-48,0.00013529040421389227
2.6,3.093964384816659e-46,0.00015218330524565573
2.7,2.0591775851681014e-44,0.00017042694567309072
2.8,1.0127355819964115e-42,0.00019007327701141516
2.9,3.7979776005728396e-41,0.0002111742507758476
3.0,1.1160227928062507e-39,0.00023378181848160589
3.1,2.6311289177561673e-38,0.00025794793164390814
3.2,5.081081126623398e-37,0.0002837245417779727
3.3,8.185012514115558e-36,0.00031116360039901733
3.4,1.117646817162054e-34,0.0003403170590222606
3.5,1.3121587156605348e-33,0.0003712368691629205
3.6,1.3413803417245186e-32,0.00040397498233621495
3.7,1.2075196750081935e-31,0.0004385833500573623
3.8,9.669190237292249e-31,0.0004751139238415806
3.9,6.949710461226867e-30,0.000513618655204088
4.0,4.520199873051131e-29,0.0005541494956601029
4.1,2.6801002139168003e-28,0.0005967583967248426
4.2,1.4582458921418714e-27,0.0006414973099135265
4.3,7.325070965328087e-27,0.0006884181867413719
4.4,3.4156314889296884e-26,0.0007375729787235969
4.5,1.485844210453782e-25,0.0007890136373754198
4.6,6.057521066720383e-25,0.0008427921142120587
4.7,2.324040390014685e-24,0.0008989603607487317
4.8,8.423181725462097e-24,0.0009575703285006576
4.9,2.894099967671613e-23,0.0010186739689830538
5.0,9.457031623712241e-23,0.0010823232337111382
5.1,2.9477400518015235e-22,0.001148570074200129
5.2,8.788326795279235e-22,0.0012174664419652458
5.3,2.5124967122664178e-21,0.0012890642885217051
5.4,6.904067482637837e-21,0.0013634155653847258
5.5,1.8274624549249215e-20,0.001440572224069525
5.6,4.6688712072332266e-20,0.0015205862160913213
5.7,1.1534791324351321e-19,0.0016035094929653343
5.8,2.760578443444386e-19,0.0016893940062067808
5.9,6.410464132806475e-19,0.0017782917073308798
6.0,1.4465623859729382e-18,0.001870254547852847
6.1,3.1765747723162457e-18,0.0019653344792879023
6.2,6.797218970331166e-18,0.0020635834531512647
6.3,1.4190348153917146e-17,0.0021650534209581504
6.4,2.893676497645236e-17,0.002269796334223779
6.5,5.770007101200746e-17,0.0023778641444633665
6.6,1.126205450186734e-16,0.0024893088031921304
6.7,2.1537365633261873e-16,0.0026041822619252888
6.8,4.039199152313473e-16,0.0027225364721780543
6.9,7.435271034492997e-16,0.0028444233854656416
7.0,1.3444573543610949e-15,0.0029698949533032604
7.1,2.3898794803402864e-15,0.00309900312720611
7.2,4.17922120331105e-15,0.0032317998586893874
7.3,7.194483311673434e-15,0.0033683370992682667
7.4,1.2200209112124716e-14,0.0035086668004578993
7.5,2.0392100425399626e-14,0.0036528409137733977
7.6,3.3615017878455505e-14,0.0038009113907298106
7.7,5.4678687820262716e-14,0.0039529301828420986
7.8,8.780932514671842e-14,0.004108949241625084
7.9,1.3928811666449547e-13,0.004269020518593388
8.0,2.1834372680726636e-13,0.004433195965261336
8.1,3.3838641174140094e-13,0.004601527533142825
8.2,5.186967785380117e-13,0.004774067173751156
8.3,7.86713616870474e-13,0.0049508668385987685
8.4,1.1811035672688963e-12,0.0051319784791969
8.5,1.755841764566042e-12,0.0053174540470551385
8.6,2.5855881781801684e-12,0.005507345493680795
8.7,3.7727103990915435e-12,0.005701704770578073
8.8,5.456381384949286e-12,0.005900583829247018
8.9,7.824271490946192e-12,0.00610403462118206
9.0,1.1127459317883404e-11,0.0063121090978702265
9.1,1.5699306820679705e-11,0.006524859210788752
9.2,2.197918202182107e-11,0.00674233691140208
9.3,3.0542068778542965e-11,0.006964594151158049
9.4,4.213527847583666e-11,0.007191682881483049
9.5,5.7723674247140716e-11,0.007423655053776042
9.6,7.854503518892424e-11,0.007660562619401001
9.7,1.0617742667272254e-10,0.007902457529677689
9.8,1.4262070368835512e-10,0.008149391735870244
