TdivTc,MdivM0
0.01,0.9999999999999998
0.02,0.999999999999999
0.03,0.9999999999361817
0.04,0.9999999834921416
0.05,0.9999995372544548
0.06,0.999995729636839
0.07,0.9999791112630054
0.08,0.9999312671283281
0.09,0.9998263165423383
0.1,0.9996350389831705
0.11,0.9993291453114109
0.12,0.9988842431681516
0.13,0.998281247198622
0.14,0.9975065931733286
0.15,0.9965517386831434
0.16,0.9954123396833645
0.17,0.9940873532154446
0.18,0.9925782016722176
0.19,0.9908880574207046
0.2,0.9890212622351271
0.21,0.9869828734486852
0.22,0.9847783192783343
0.23,0.9824131434461892
0.24,0.979892820366048
0.25,0.9772226247249378
0.26,0.9744075421910297
0.27,0.9714522107103943
0.28,0.9683608842130156
0.29,0.9651374124867784
0.3,0.9617852325226844
0.31,0.958307367839337
0.32,0.9547064332196498
0.33,0.9509846429936679
0.34,0.9471438215263783
0.35,0.9431854149580904
0.36,0.9391105035291044
0.37,0.9349198140251561
0.38,0.9306137320251057
0.39,0.9261923137328095
0.4,0.921655297242801
0.41,0.9170021131333169
0.42,0.9122318943071254
0.43,0.9073434850157276
0.44,0.902335449009514
0.45,0.8972060767581318
0.46,0.8919533916836154
0.47,0.8865751553449321
0.48,0.8810688715073893
0.49,0.8754317890242833
0.5,0.8696609034512551
0.51,0.8637529573062447
0.52,0.8577044388792792
0.53,0.8515115794864082
0.54,0.8451703490504899
0.55,0.8386764498776833
0.56,0.8320253084819456
0.57,0.8252120652898676
0.58,0.8182315620340016
0.59,0.8110783266137418
0.6,0.8037465551675008
0.61,0.79623009105736
0.62,0.7885224004158466
0.63,0.7806165438421402
0.64,0.7725051437594127
0.65,0.7641803468531239
0.66,0.7556337808980217
0.67,0.7468565051444038
0.68,0.7378389532654558
0.69,0.728570867658806
0.7,0.7190412236360098
0.71,0.7092381417089464
0.72,0.699148785772967
0.73,0.6887592444673023
0.74,0.6780543923286664
0.75,0.6670177264965529
0.76,0.6556311736119222
0.77,0.643874860082389
0.78,0.6317268369349717
0.79,0.619162747853184
0.8,0.6061554254231807
0.81,0.5926743956857411
0.82,0.5786852641917528
0.83,0.5641489469434714
0.84,0.5490206953897305
0.85,0.5332488436513269
0.86,0.516773174466686
0.87,0.4995227513341848
0.88,0.481412986386654
0.89,0.4623415856327352
0.9,0.4421827955873349
0.91,0.4207789891693813
0.92,0.39792790875448103
0.93,0.37336245972851634
0.94,0.3467169172443083
0.95,0.3174663463826916
0.96,0.2848075065842069
0.97,0.24739232662459315
0.98,0.20260032364093328
0.99,0.14368784042733873
1.0,0.0
