temp,resistivity
1,1.7068769631989636e-9
2,5.462006282236683e-8
3,4.147711020573481e-7
4,1.7478420103157387e-6
5,5.33399050999676e-6
6,1.327267526583513e-5
7,2.8687481120475804e-5
8,5.593094432812182e-5
9,0.00010078937766977543
10,0.00017068769260409594
11,0.00027489418392535485
12,0.00042472503624960513
13,0.0006337474788528396
14,0.0009179782613468329
15,0.0012960698078783913
16,0.0017894703960723058
17,0.002422538716034171
18,0.0032225895977087042
19,0.0042198484205199635
20,0.005447297185739576
21,0.00694040438754806
22,0.008736741683696965
23,0.010875500809262117
24,0.013396932518032494
25,0.0163417346329855
26,0.019750418330538862
27,0.023662680920654742
28,0.028116810288880332
29,0.03314914162287497
30,0.03879358180080692
31,0.045081211488962804
32,0.052039970032861156
33,0.059694423918341254
34,0.06806561607372433
35,0.0771709906190224
36,0.08702438580426973
37,0.09763608672935346
38,0.1090129288903847
39,0.12115844353312452
40,0.13407303609659277
41,0.14775418959507494
42,0.16219668552432373
43,0.17739283571374792
44,0.1933327194222783
45,0.21000442084704862
46,0.2273942630490678
47,0.24548703507701142
48,0.2642662097758186
49,0.28371415039414416
50,0.30381230465197806
51,0.32454138539860206
52,0.3458815373856012
53,0.36781249000561245
54,0.39031369611141814
55,0.4133644572388918
56,0.4369440357180954
57,0.46103175427623416
58,0.48560708382050577
59,0.5106497201438255
60,0.5361396503272022
61,0.5620572096237146
62,0.5883831296046026
63,0.6150985783313739
64,0.6421851932919826
65,0.6696251078064959
66,0.6974009715703245
67,0.7254959659626634
68,0.7538938147057306
69,0.7825787904177092
70,0.8115357175599003
71,0.8407499722371208
72,0.8702074792703217
73,0.8998947069221355
74,0.9297986596198043
75,0.9599068689858674
76,0.9902073834551678
77,1.0206887567271925
78,1.0513400352755147
79,1.0821507451109813
80,1.113110877972419
81,1.144210877097623
82,1.1754416227085005
83,1.2067944173269545
84,1.2382609710226289
85,1.2698333866796905
86,1.3015041453572938
87,1.3332660918071917
88,1.3651124202020397
89,1.3970366601190107
90,1.4290326628155763
91,1.4610945878273158
92,1.4932168899115588
93,1.5253943063553104
94,1.5576218446612056
95,1.5898947706212083
96,1.6222085967842161
97,1.6545590713206644
98,1.6869421672846632
99,1.7193540722719016
100,1.751791178469706
101,1.7842500730940407
102,1.8167275292068739
103,1.8492204969062889
104,1.8817260948808303
105,1.9142416023187974
106,1.946764451162756
107,1.979292218699036
108,2.0118226204717353
109,2.0443535035105587
110,2.0768828398616748
111,2.109408720410822
112,2.1419293489878384
113,2.1744430367419816
114,2.2069481967774522
115,2.239443339038767
116,2.271927065435814
117,2.3043980651986615
118,2.3368551104524053
119,2.3692970520027115
120,2.4017228153228176
121,2.4341313967332394
122,2.466521859765572
123,2.4988933317021322
124,2.531245000283511
125,2.563576110576301
126,2.595885961993717
127,2.62817390546194
128,2.660439340725432
129,2.692681713784678
130,2.724900514460128
131,2.757095274076334
132,2.789265563260552
133,2.8214109898503517
134,2.853531196905
135,2.8856258608156073
136,2.9176946895092355
137,2.9497374207425002
138,2.981753820480207
139,3.0137436813549625
140,3.04570682120378
141,3.077643081677889
142,3.1095523269222176
143,3.14143444232107
144,3.1732893333067813
145,3.205116924228259
146,3.236917157276418
147,3.268689991463745
148,3.300435401655326
149,3.3321533776487255
150,3.363843923300422
151,3.395507055696373
152,3.427142804364624
153,3.458751210527805
154,3.490332326393622
155,3.521886214481377
156,3.5534129469827747
157,3.5849126051553455
158,3.6163852787468054
159,3.6478310654488704
160,3.679250070379016
161,3.710642405588887
162,3.742008189597934
163,3.773347546951064
164,3.804660607799169
165,3.8359475075013147
166,3.8672083862475644
167,3.898443388701412
168,3.929652663660852
169,3.960836363737129
170,3.991994645050373
171,4.023127666941182
172,4.054235591697441
173,4.085318584295572
174,4.116376812155564
175,4.147410444909019
176,4.17841965417961
177,4.209404613375374
178,4.240365497492185
179,4.271302482927884
180,4.30221574730655
181,4.333105469312405
182,4.363971828532834
183,4.394815005310152
184,4.425635180601584
185,4.45643253584715
186,4.487207252844948
187,4.517959513633622
188,4.548689500381482
189,4.579397395282072
190,4.610083380455842
191,4.640747637857567
192,4.671390349189262
193,4.7020116958183635
194,4.732611858700821
195,4.763191018308919
196,4.793749354563559
197,4.824287046770851
198,4.85480427356266
199,4.885301212841028
200,4.915778041726256
201,4.946234936508413
202,4.976672072602112
203,5.007089624504473
204,5.037487765755959
205,5.067866668904046
206,5.098226505469613
207,5.128567445915768
208,5.158889659619137
209,5.189193314843385
210,5.219478578714934
211,5.249745617200693
212,5.2799945950877225
213,5.310225675964781
214,5.340439022205557
215,5.370634794953566
216,5.400813154108633
217,5.4309742583148415
218,5.461118264949844
219,5.491245330115568
220,5.521355608630104
221,5.551449254020842
222,5.581526418518645
